track_id,artist,album,track,album_track_seq,track_release_date
2dpaYNEQHiRxtZbfNsse99,Marshmello,Happier,Happier,1,2018-08-17
7wC5vOh3fQibFYWjCIotKw,Bay City Rollers,Once Upon A Star,Bye Bye Baby,1,1975
3cg0dJfrQB66Qf2YthPb6G,B.B. King,Deuces Wild,The Thrill Is Gone,2,1997-11-04
3SdTKo2uVsxFblQjpScoHy,Ben E. King,Don't Play That Song (Mono),Stand by Me,7,1962-08-20
5e50NiIlOc2YJIftHzoehd,Becky G,MALA SANTA,MALA SANTA,1,2019-10-18
0Puj4YlTm6xNzDDADXHMI9,Beastie Boys,Ill Communication,Sabotage,6,1994-05-23
6dGnYIeXmHdcikdzNNDMm2,The Beatles,Abbey Road (Remastered),Here Comes The Sun - Remastered 2009,7,1969-09-26
2Gy7qnDwt8Z3MNxqat4CsK,The Beach Boys,Pet Sounds (Original Mono & Stereo Mix Versions),Wouldn't It Be Nice - Stereo Mix,15,1966-06-16
3mRM4NM8iO7UBqrSigCQFH,Bee Gees,Greatest,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",5,1979-01-01
1fujSajijBpJlr5mRGKHJN,Ben Folds,Rockin' The Suburbs,The Luckiest,12,2001-09-11
4jKq1e80xAYixkIwt6YyV1,Ben Folds Five,Whatever And Ever Amen (Remastered Edition),Brick,3,1997-03-18
0ttHpMs250dpFkCYAnuhnE,Better Than Ezra,Deluxe,Good,2,1995-02-28
07GtDOCxmye5KDWsTSACPk,The Big Bopper,Chantilly Lace,Chantilly Lace,1,1958-01-01
5s7m2xNZWgz5FqVSIvJcGA,Big & Rich,Horse Of A Different Color,Save a Horse (Ride a Cowboy),9,2004-04-20
0PgWyoqPJO6DGVPnzmbIcu,Bill Haley Jr. and the Comets,Bill Haley Jr. and the Comets,Crazy Man Crazy,2,2013-11-08
1k1Bqnv2R0uJXQN4u6LKYt,Bill Withers,Just As I Am,Ain't No Sunshine,2,1971-05-01
5u8Uan68a0wy0CGj49SQzT,Billy Fury,The One and Only,Wondrous Place,13,1983-01-01
4TIJ7zSBNejpoIPaWpWRKc,Billy Idol,Rebel Yell,Rebel Yell,1,1983-11-01
2m4Pj6wQvhiBITHzjYZpsh,Billy J. Kramer,EMI Legends Rock 'n' Roll Seris - The Definitive Collection,Trains and Boats and Planes,18,1991-09-30
5zA8vzDGqPl2AzZkEYQGKh,Billy Joel,An Innocent Man,Uptown Girl,6,1983-08-08
6zmQ8bzlDIfngjy0Ba3w46,The Beatles,1 (Remastered),Get Back - Remastered 2015,22,2000-11-13
52KvuGmgcgRdrLMXOtda0E,Billy Squier,Don't Say No,The Stroke - Remastered,2,1981
0OMNQyneWmmZtTQpULYJcl,Björk,Post,It's Oh so Quiet,4,1995-06-13
05NYcsjJwOYq4jIiKPVj9p,The Black Crowes,Shake Your Money Maker,Hard To Handle,6,1990-02-13
4kFfFe38CRVnTsakUTL4E4,Black Flag,Damaged,Rise Above,1,1981
5G1sTBGbZT5o4PNRc75RKI,The Black Keys,El Camino,Lonely Boy,1,2011-12-06
48Jo6ii5CSFLDK2wu6yPJW,Black Label Society,The Blessed Hellride,Stillborn,3,2003-04-22
1Y373MqadDRtclJNdnUXVc,Black Sabbath,Paranoid (2014 Remaster),Paranoid - 2016 Remaster,2,1970-09-18
1BwhFXqoIsePt21WyWIttb,Bleachers,Strange Desire,I Wanna Get Better,4,2014-07-11
2m1hi0nfMR9vdGC8UcrnwU,blink-182,Enema Of The State,All The Small Things,8,1999-06-01
0a4agFmqHXxcZl1nho1BxM,Blondie,Best Of Blondie,Heart Of Glass - Special Mix,1,1981-10-31
0spSRHFS4zF4Imvz9sJcfL,"Blood, Sweat & Tears","Blood, Sweat & Tears (Expanded Edition)",Spinning Wheel,7,1968-12
5EYdTPdJD74r9EVZBztqGG,Bloodhound Gang,Hooray For Boobies,The Bad Touch,10,1999-10-04
5QTxFnGygVM4jFQiBovmRo,Blue Öyster Cult,Agents Of Fortune,(Don't Fear) The Reaper,3,1976
1CtKHwDqsH3ctcCCI18N0g,The Blues Brothers,The Blues Brothers: Original Soundtrack Recording,Everybody Needs Somebody to Love,5,1980
500Tkm3vJmVtdUwdCVxCTb,Blues Traveler,Four,Run-Around,1,1994-01-01
1FTSo4v6BOZH9QxKc3MbVM,Blur,Blur [Special Edition],Song 2 - 2012 Remaster,2,1997-02-10
760clbeDBWmBsBLbszWuNZ,Bo Diddley,Bo Diddley,I'm A Man,2,1958-01-01
6A9mKXlFRPMPem6ygQSt7z,Bob Marley & The Wailers,Exodus (Deluxe Edition),Three Little Birds,9,1977-01-03
5EOoMWIB9iK4ZpcSex9Ec7,Bob Seger,Stranger In Town,Old Time Rock & Roll,3,1978-05-05
3KzgdYUlqV6TOG7JCmx2Wg,Bobby Darin,That's All,Beyond the Sea,2,1959
0ZfkRyUUYS9Hvl6N5PXPot,Bobby Lewis,Tossin' and Turnin',Tossin' and Turnin',8,1961-09-14
06JokgprGDKrtZ1eP6z2CQ,Bobby Vee,Take Good Care Of My Baby,Take Good Care Of My Baby,1,1962-02-01
4fQMGlCawbTkH9yPPZ49kP,Booker T. & the M.G.'s,Green Onions,Green Onions,1,1962
5oQcOu1omDykbIPSdSQQNJ,Bowling For Soup,A Hangover You Don't Deserve,1985,3,2004
1QEEqeFIZktqIpPI4jSVSF,Boston,Boston,More Than a Feeling,1,1976
6RJK553YhstRzyKA4mug09,The Box Tops,The Letter/Neon Rainbow,The Letter,1,1967
1MaqkdFNIKPdpQGDzme5ss,Boys Like Girls,Love Drunk,Two Is Better Than One (feat. Taylor Swift),4,2009-09-03
3l3xTXsUXeWlkPqzMs7mPD,Boyz II Men,Cooleyhighharmony (Bonus Tracks Version),End Of The Road,17,1991-04-30
52VIdyKqp1pJRSyUQaxKUA,Bread,Baby I'm-a Want You,Everything I Own,4,1972
2EjXfH91m7f8HiJN1yQg97,Brenda Lee,Merry Christmas From Brenda Lee,Rockin' Around The Christmas Tree,1,1964-10-19
1DA7FEKgQeyRPtU44L5DOf,Brett Young,Brett Young (Big Machine Radio Release Special),In Case You Didn't Know,8,2017-02-09
7Jd0MqZq15T4pDWts2G6Yl,Brian Eno,Small Craft On A Milk Sea,Emerald and Stone,13,2010-11-01
5c8ahMgM0oqs8Qdq1HGV20,Brian May,Pavarotti & Friends,Too Much Love Will Kill You,10,1993-01-01
7FwBtcecmlpc1sLySPXeGE,Bruce Springsteen,Born In The U.S.A.,Dancing In the Dark,11,1984-06-04
6cn8gJTXNp796XMUpJ8SYB,Bruce & Terry,The Best of Bruce & Terry,Don't Run Away,5,1998-06-15
0GONea6G2XdnHWjNZd6zt3,Bryan Adams,Reckless (30th Anniversary / Deluxe Edition),Summer Of '69,6,1984-11-05
5XfQTbialQHn9PhDb0p85H,Buckcherry,15,Crazy Bitch,7,2006-04-11
39lnzOIUCSNaQmgBHoz7rt,Buddy Holly,Buddy Holly,Everyday,7,1958
1qRA5BS78u3gME0loMl9AA,Buffalo Springfield,Buffalo Springfield,For What It's Worth,1,1966-12-05
6t1FIJlZWTQfIZhsGjaulM,The Buggles,The Age Of Plastic,Video Killed The Radio Star,2,1980-01-10
